screen,start,end
0,382,438
1,514,563
2,654,699
3,840,896
4,996,1074
5,1194,1246
6,1415,1508
7,1595,1650
8,1793,1889
9,2033,2138
10,2216,2274
11,2328,2401
12,2453,2561
13,2645,2719
14,2765,2842
15,2917,2973
16,3048,3100
17,3305,3386
18,3511,3558
19,3672,3739
20,3806,3862
21,3975,4023
22,4080,4139
23,4255,4333
24,4376,4441
25,4545,4607
26,4720,4772
27,4884,4970
28,5047,5138
29,5322,5518
30,5607,5701
31,5816,5923
32,6046,6127
33,6199,6275
34,6334,6437
35,6522,6615
36,6681,6791
37,6900,7035
38,7137,7211
39,7306,7417
40,7502,7587
41,7665,7757
42,7856,7925
